incident_energy,raw_xas,cleaned_xas
2472.30121265585,7614,6402
2472.401382006641,7582,6419
2472.5013642751455,7408,6246
2472.6013618106726,7301,6206
2472.7015770862145,7383,6159
2472.801402692529,7674,6386
2472.9012435113905,7473,6226
2473.0010995452194,7491,6139
2473.1060356669554,7266,5957
2473.201059892409,7553,6220
2473.3013669283814,7399,6042
2473.4010812521155,7413,6044
2473.5014188943906,7022,5707
2473.6011636437815,7157,5772
2473.701126342897,7082,5714
2473.801104276379,7122,5665
2473.900894605325,7030,5639
2474.0011058561413,6949,5506
2474.1066079162715,6854,5378
2474.201168402479,6688,5288
2474.301425509257,6535,5138
2474.401088938871,6343,4897
2474.501173549921,6363,4858
2474.601070356991,6001,4591
2474.701185447086,6106,4600
2474.8009095566795,5987,4527
2474.901258255062,5992,4693
2475.0012159159437,5835,4586
2475.1011887808813,5747,4465
2475.2011768522925,5801,4416
2475.3011801325983,5772,4425
2475.4011986242167,5722,4348
2475.5014356656015,5530,4152
2475.6010778841737,5596,4201
2475.7011419933206,5614,4215
2475.80122132346,5672,4338
2475.901112417358,5664,4373
2476.001222165801,5740,4458
2476.1013471425013,5675,4476
2476.2010802450345,5823,4595
2476.301439206951,5683,4542
2476.406292998861,5934,4812
2476.501388444468,5900,4796
2476.601182153651,5891,4843
2476.7009909819476,5872,4885
2476.8012224074387,5946,5002
2476.9010615428942,5947,5101
2477.00091580467,5799,4980
2477.1011928563353,5994,5249
2477.200873578218,6015,5338
2477.3013849415906,5938,5286
2477.4012998562225,5997,5388
2477.501637817992,5994,5463
2477.6013790881943,6047,5548
2477.7013394559804,5938,5509
2477.8013149693293,5976,5589
2477.9013056306444,6010,5636
2478.006005964976,5895,5580
2478.1015365467083,5848,5585
2478.2011643556643,5901,5654
2478.301624005466,5764,5578
2478.4012820082658,5810,5645
2478.5013635769665,5717,5570
2478.6014603104777,5795,5675
2478.7013678857616,5855,5733
2478.8012905688174,5715,5614
2478.9014327492887,5708,5594
2479.0015901042025,5575,5508
2479.1013537376443,5732,5641
2479.201336906669,5458,5398
2479.306038963794,5451,5367
2479.401348606402,5745,5669
2479.501172569141,5630,5565
2479.6014208043744,5597,5536
2479.701070326972,5513,5434
2479.8013488541947,5621,5565
2479.901437880993,5661,5592
2480.0011325895402,5460,5401
2480.1014565882742,5573,5517
2480.201181422455,5382,5319
2480.3068610849023,5442,5383
2480.4012907065794,5490,5423
2480.501470464867,5417,5360
2480.6012555481307,5575,5516
2480.7012606048834,5474,5427
2480.801075780717,5499,5440
2480.901110996607,5363,5309
2481.0011613111183,5392,5328
2481.1012267266447,5290,5239
2481.201102147107,5277,5222
2481.3014028703246,5283,5227
2481.4011032825424,5332,5269
2481.5012290641484,5269,5217
2481.6013699587375,5227,5170
2481.701115462407,5235,5180
2481.801081244156,5126,5069
2481.9012673991233,5207,5152
2482.0014686766526,5279,5224
2482.101068948491,5009,4950
2482.2010949775813,5251,5201
2482.3013415131704,5277,5229
2482.401192241545,5102,5055
2482.5014689817917,5142,5085
2482.606899170158,5125,5073
2482.701451187755,5173,5129
2482.8013620660263,5019,4962
2482.9012879645443,5074,5013
2483.0014345409286,5152,5107
2483.1011848318226,4952,4902
2483.201361522421,5086,5040
2483.301347556614,5017,4964
2483.401142843995,5197,5155
2483.501158913897,5086,5035
2483.6013958615113,4935,4901
2483.7016479103504,5097,5053
2483.8012973544396,5218,5167
2483.905904141911,5011,4966
2484.0016708289445,5060,5011
2484.1011592001887,5084,5032
2484.201280516338,5114,5056
2484.3014168860327,5184,5139
2484.401362223303,5117,5070
2484.5011164377643,5025,4984
2484.6012978894196,5027,4980
2484.7010820419346,5091,5043
2484.801293560105,5024,4974
2484.901313903089,5056,5011
2485.001142980432,4983,4937
2485.101193311351,5060,5022
2485.2014649910748,5068,5020
2485.30113264785,5067,5022
2485.4012279939175,5052,5020
2485.5011319315204,5019,4974
2485.6010508297263,5089,5038
2485.701191181305,5001,4970
2485.80134656012,5172,5107
2485.900897311572,4997,4947
2486.001082658999,5077,5029
2486.1012830407803,5136,5093
2486.2010851689556,5029,4983
2486.3011088884755,5206,5164
2486.401147587509,5069,5020
2486.500994530495,5084,5038
2486.6010631646946,4964,4918
2486.701353585359,5012,4971
2486.801452226116,5044,4987
2486.901152134678,5054,5012
2487.001487591261,4960,4921
2487.101424258481,4968,4924
2487.201168907665,5054,5003
2487.301342404881,4955,4922
2487.401116872335,5070,5026
2487.50111326889,4991,4957
2487.6013316897292,5002,4966
2487.70115090223,4907,4857
2487.801192143731,5019,4979
2487.90145550946,4995,4946
2488.0013194881913,5069,5021
2488.1014055958703,5103,5045
2488.20129939962,5007,4966
2488.301208103948,5004,4954
2488.401131711201,4896,4866
2488.501484937407,4931,4881
2488.601231031615,5128,5070
2488.7011993926712,4959,4920
2488.801182666053,5009,4965
2488.9011808541104,5063,5017
2489.001193959195,5080,5040
2489.1014295261884,4951,4901
2489.2014725033414,4874,4824
2489.30111519573,5045,5001
2489.401395596833,5202,5157
2489.501275655993,4998,4952
2489.601378281655,5161,5112
2489.70128811257,5142,5097
2489.801212817419,5025,4984
2489.901360188637,5054,5013
2490.0011068582817,5145,5096
2490.101491902983,4990,4938
2490.2014761888713,5156,5110
2490.3012674464853,4973,4921
2490.4014894199554,4995,4936
2490.5013103939964,4890,4842
2490.6011461988624,5061,5016
2490.7014129122413,5093,5046
2490.801486516253,5134,5085
2490.901366920322,4981,4930
2491.0014702951407,5068,5019
